Time,Distance (cm)
14:23:56,193.44
14:23:57,193.44
14:23:58,192.9
14:23:59,192.98
14:24:00,193.46
14:24:02,193.02
14:24:03,192.98
14:24:04,193.46
14:24:05,193.46
14:24:06,192.98
14:24:07,193.56
14:24:08,193.46
14:24:09,193.0
14:24:10,193.0
14:24:11,193.46
14:24:12,193.31
14:24:13,193.05
14:24:14,113.48
14:24:16,112.22
14:24:17,193.46
14:24:18,193.22
14:24:19,193.0
14:24:20,193.44
14:24:21,193.46
14:24:22,192.88
14:24:23,192.98
14:24:24,193.46
14:24:25,192.98
14:24:26,192.98
14:24:27,193.44
14:24:29,193.21
14:24:30,192.97
14:24:31,193.09
14:24:32,193.46
14:24:33,192.95
14:24:34,193.02
14:24:35,193.09
14:24:36,193.02
14:24:37,192.97
14:24:38,193.44
14:24:39,193.12
14:24:40,192.97
14:24:42,193.21
